id,x0,x1,x2,x3,x4,x5
180,1,0,0,0.0,7,2
181,0,8,2,69.55,7,2
182,1,0,0,15.05,7,0
183,1,4,2,31.3875,7,2
184,1,2,1,39.0,5,2
185,0,0,2,22.025,7,2
186,1,0,0,50.0,0,2
187,0,1,0,15.5,7,1
188,1,0,0,26.55,7,2
189,1,1,1,15.5,7,1
190,1,0,0,7.8958,7,2
191,0,0,0,13.0,7,2
192,1,0,0,13.0,7,2
193,0,1,0,7.8542,7,2
194,1,1,1,26.0,5,2
195,0,0,0,27.7208,1,0
196,0,0,0,146.5208,1,0
197,1,0,0,7.75,7,1
198,1,0,1,8.4042,7,2
199,0,0,0,7.75,7,1
200,0,0,0,13.0,7,2
201,1,0,0,9.5,7,2
202,1,8,2,69.55,7,2
203,1,0,0,6.4958,7,2
204,1,0,0,7.225,7,0
205,1,0,0,8.05,7,2
206,0,0,1,10.4625,6,2
207,1,1,0,15.85,7,2
208,1,0,0,18.7875,7,0
209,0,0,0,7.75,7,1
210,1,0,0,31.0,0,0
211,1,0,0,7.05,7,2
212,0,0,0,21.0,7,2
213,1,0,0,7.25,7,2
214,1,0,0,13.0,7,2
215,1,1,0,7.75,7,1
216,0,1,0,113.275,3,0
217,0,0,0,7.925,7,2
218,1,1,0,27.0,7,2
219,0,0,0,76.2917,3,0
220,1,0,0,10.5,7,2
221,1,0,0,8.05,7,2
222,1,0,0,13.0,7,2
223,1,0,0,8.05,7,2
224,1,0,0,7.8958,7,2
225,1,1,0,90.0,2,2
226,1,0,0,9.35,7,2
227,1,0,0,10.5,7,2
228,1,0,0,7.25,7,2
229,1,0,0,13.0,7,2
230,0,3,1,25.4667,7,2
231,0,1,0,83.475,2,2
232,1,0,0,7.775,7,2
233,1,0,0,13.5,7,2
234,0,4,2,31.3875,7,2
235,1,0,0,10.5,7,2
236,0,0,0,7.55,7,2
237,1,1,0,26.0,7,2
238,0,0,2,26.25,7,2
239,1,0,0,10.5,7,2
240,1,0,0,12.275,7,2
241,0,1,0,14.4542,7,0
242,0,1,0,15.5,7,1
243,1,0,0,10.5,7,2
244,1,0,0,7.125,7,2
245,1,0,0,7.225,7,0
246,1,2,0,90.0,2,1
247,0,0,0,7.775,7,2
248,0,0,2,14.5,7,2
249,1,1,1,52.5542,3,2
250,1,1,0,26.0,7,2
251,1,0,0,7.25,7,2
252,0,1,1,10.4625,6,2
253,1,0,0,26.55,2,2
254,1,1,0,16.1,7,2
255,0,0,2,20.2125,7,2
256,0,0,2,15.2458,7,0
257,0,0,0,79.2,7,0
258,0,0,0,86.5,1,2
259,0,0,0,512.3292,7,0
260,0,0,1,26.0,7,2
261,1,0,0,7.75,7,1
262,1,4,2,31.3875,7,2
263,1,1,1,79.65,4,2
264,1,0,0,0.0,1,2
265,0,0,0,7.75,7,1
266,1,0,0,10.5,7,2
267,1,4,1,39.6875,7,2
268,1,1,0,7.775,7,2
269,0,0,1,153.4625,2,2
270,0,0,0,135.6333,2,2
271,1,0,0,31.0,7,2
272,1,0,0,0.0,7,2
273,0,0,1,19.5,7,2
274,1,0,1,29.7,2,0
275,0,0,0,7.75,7,1
276,0,1,0,77.9583,3,2
277,0,0,0,7.75,7,2
278,1,0,0,0.0,7,2
279,1,4,1,29.125,7,1
280,0,1,1,20.25,7,2
281,1,0,0,7.75,7,1
282,1,0,0,7.8542,7,2
283,1,0,0,9.5,7,2
284,1,0,0,8.05,7,2
285,1,0,0,26.0,0,2
286,1,0,0,8.6625,7,0
287,1,0,0,9.5,7,2
288,1,0,0,7.8958,7,2
289,1,0,0,13.0,7,2
290,0,0,0,7.75,7,1
291,0,0,0,78.85,7,2
292,0,1,0,91.0792,1,0
293,1,0,0,12.875,3,0
294,0,0,0,8.85,7,2
295,1,0,0,7.8958,7,2
296,1,0,0,27.7208,7,0
297,1,0,0,7.2292,7,0
298,0,1,2,151.55,2,2
299,1,0,0,30.5,2,2
300,0,0,1,247.5208,1,0
301,0,0,0,7.75,7,1
302,1,2,0,23.25,7,1
303,1,0,0,0.0,7,2
304,0,0,0,12.35,4,1
305,1,0,0,8.05,7,2
306,1,1,2,151.55,2,2
307,0,0,0,110.8833,7,0
308,0,1,0,108.9,2,0
309,1,1,0,24.0,7,0
310,0,0,0,56.9292,4,0
311,0,0,0,83.1583,2,0
312,0,2,2,262.375,1,0
313,0,1,1,26.0,7,2
314,1,0,0,7.8958,7,2
315,1,1,1,26.25,7,2
316,0,0,0,7.8542,7,2
317,0,1,0,26.0,7,2
318,1,0,0,14.0,7,2
319,0,0,2,164.8667,2,2
320,0,1,1,134.5,4,0
321,1,0,0,7.25,7,2
322,1,0,0,7.8958,7,2
323,0,0,0,12.35,7,1
324,0,1,1,29.0,7,2
325,1,8,2,69.55,7,2
326,0,0,0,135.6333,2,0
327,1,0,0,6.2375,7,2
328,0,0,0,13.0,3,2
329,0,1,1,20.525,7,2
330,0,0,1,57.9792,1,0
331,0,2,0,23.25,7,1
332,1,0,0,28.5,2,2
333,1,0,1,153.4625,2,2
334,1,2,0,18.0,7,2
335,0,1,0,133.65,7,2
336,1,0,0,7.8958,7,2
337,1,1,0,66.6,2,2
338,0,0,0,134.5,4,0
339,1,0,0,8.05,7,2
340,1,0,0,35.5,8,2
341,1,1,1,26.0,5,2
342,0,3,2,263.0,2,2
343,1,0,0,13.0,7,2
344,1,0,0,13.0,7,2
345,1,0,0,13.0,7,2
346,0,0,0,13.0,5,2
347,0,0,0,13.0,7,2
348,0,1,0,16.1,7,2
349,1,1,1,15.9,7,2
350,1,0,0,8.6625,7,2
351,1,0,0,9.225,7,2
352,1,0,0,35.0,2,2
353,1,1,1,7.2292,7,0
354,1,1,0,17.8,7,2
355,1,0,0,7.225,7,0
356,1,0,0,9.5,7,2
357,0,0,1,55.0,4,2
358,0,0,0,13.0,7,2
359,0,0,0,7.8792,7,1
360,0,0,0,7.8792,7,1
361,1,1,4,27.9,7,2
362,1,1,0,27.7208,7,0
363,0,0,1,14.4542,7,0
364,1,0,0,7.05,7,2
365,1,1,0,15.5,7,1
366,1,0,0,7.25,7,2
367,0,1,0,75.25,3,0
368,0,0,0,7.2292,7,0
369,0,0,0,7.75,7,1
370,0,0,0,69.3,1,0
371,1,1,0,55.4417,4,0
372,1,1,0,6.4958,7,2
373,1,0,0,8.05,7,2
374,1,0,0,135.6333,7,0
375,0,3,1,21.075,7,2
376,0,1,0,82.1708,7,0
377,0,0,0,7.25,7,2
378,1,0,2,211.5,2,0
379,1,0,0,4.0125,7,0
380,1,0,0,7.775,7,2
381,0,0,0,227.525,7,0
382,0,0,2,15.7417,7,0
383,1,0,0,7.925,7,2
384,0,1,0,52.0,7,2
385,1,0,0,7.8958,7,2
386,1,0,0,73.5,7,2
387,1,5,2,46.9,7,2
388,0,0,0,13.0,7,2
389,1,0,0,7.7292,7,1
390,0,0,0,12.0,7,0
391,1,1,2,120.0,1,2
392,1,0,0,7.7958,7,2
393,1,2,0,7.925,7,2
394,0,1,0,113.275,3,0
395,0,0,2,16.7,6,2
396,1,0,0,7.7958,7,2
397,0,0,0,7.8542,7,2
398,1,0,0,26.0,7,2
399,1,0,0,10.5,7,2
400,0,0,0,12.65,7,2
401,1,0,0,7.925,7,2
402,1,0,0,8.05,7,2
403,0,1,0,9.825,7,2
404,1,1,0,15.85,7,2
405,0,0,0,8.6625,7,2
406,1,1,0,21.0,7,2
407,1,0,0,7.75,7,2
408,1,1,1,18.75,7,2
409,1,0,0,7.775,7,2
410,0,3,1,25.4667,7,2
411,1,0,0,7.8958,7,2
412,1,0,0,6.8583,7,1
413,0,1,0,90.0,2,1
414,1,0,0,0.0,7,2
415,1,0,0,7.925,7,2
416,0,0,0,8.05,7,2
417,0,1,1,32.5,7,2
418,0,0,2,13.0,7,2
419,1,0,0,13.0,7,2
420,0,0,2,24.15,7,2
421,1,0,0,7.8958,7,0
422,1,0,0,7.7333,7,1
423,1,0,0,7.875,7,2
424,0,1,1,14.4,7,2
425,1,1,1,20.2125,7,2
426,1,0,0,7.25,7,2
427,0,1,0,26.0,7,2
428,0,0,0,26.0,7,2
429,1,0,0,7.75,7,1
430,1,0,0,8.05,4,2
431,1,0,0,26.55,2,2
432,0,1,0,16.1,7,2
433,0,1,0,26.0,7,2
434,1,0,0,7.125,7,2
435,1,1,0,55.9,4,2
436,0,1,2,120.0,1,2
437,0,2,2,34.375,7,2
438,0,2,3,18.75,7,2
439,1,1,4,263.0,2,2
440,1,0,0,10.5,7,2
441,0,1,1,26.25,7,2
442,1,0,0,9.5,7,2
443,1,1,0,7.775,7,2
444,0,0,0,13.0,7,2
445,1,0,0,8.1125,7,2
446,1,0,2,81.8583,0,2
447,0,0,1,19.5,7,2
448,1,0,0,26.55,7,2
449,0,2,1,19.2583,7,0
450,1,0,0,30.5,2,2
451,1,1,2,27.75,7,2
452,1,1,0,19.9667,7,2
453,1,0,0,27.75,2,0
454,1,1,0,89.1042,2,0
455,1,0,0,8.05,7,2
456,1,0,0,7.8958,7,0
457,1,0,0,26.55,4,2
458,0,1,0,51.8625,3,2
459,0,0,0,10.5,7,2
460,1,0,0,7.75,7,1
461,1,0,0,26.55,4,2
462,1,0,0,8.05,7,2
463,1,0,0,38.5,4,2
464,1,0,0,13.0,7,2
465,1,0,0,8.05,7,2
466,1,0,0,7.05,7,2
467,1,0,0,0.0,7,2
468,1,0,0,26.55,7,2
469,1,0,0,7.725,7,1
470,0,2,1,19.2583,7,0
471,1,0,0,7.25,7,2
472,1,0,0,8.6625,7,2
473,0,1,2,27.75,7,2
474,0,0,0,13.7917,3,0
475,0,0,0,9.8375,7,2
476,1,0,0,52.0,0,2
477,1,1,0,21.0,7,2
478,1,1,0,7.0458,7,2
479,1,0,0,7.5208,7,2
480,0,0,1,12.2875,7,2
481,1,5,2,46.9,7,2
482,1,0,0,0.0,7,2
483,1,0,0,8.05,7,2
484,0,0,0,9.5875,7,2
485,1,1,0,91.0792,1,0
486,0,3,1,25.4667,7,2
487,0,1,0,90.0,2,2
488,1,0,0,29.7,1,0
489,1,0,0,8.05,7,2
490,1,1,1,15.9,7,2
491,1,1,0,19.9667,7,2
492,1,0,0,7.25,7,2
493,1,0,0,30.5,2,2
494,1,0,0,49.5042,7,0
495,1,0,0,8.05,7,2
496,1,0,0,14.4583,7,0
497,0,1,0,78.2667,3,0
498,1,0,0,15.1,7,2
499,0,1,2,151.55,2,2
500,1,0,0,7.7958,7,2
501,1,0,0,8.6625,7,2
502,0,0,0,7.75,7,1
503,0,0,0,7.6292,7,1
504,0,0,0,9.5875,7,2
505,0,0,0,86.5,1,2
506,1,1,0,108.9,2,0
507,0,0,2,26.0,7,2
508,1,0,0,26.55,7,2
509,1,0,0,22.525,7,2
510,1,0,0,56.4958,7,2
511,1,0,0,7.75,7,1
512,1,0,0,8.05,7,2
513,1,0,0,26.2875,4,2
514,0,1,0,59.4,7,0
515,1,0,0,7.4958,7,2
516,1,0,0,34.0208,3,2
517,0,0,0,10.5,5,2
518,1,0,0,24.15,7,1
519,0,1,0,26.0,7,2
520,1,0,0,7.8958,7,2
521,0,0,0,93.5,1,2
522,1,0,0,7.8958,7,2
523,1,0,0,7.225,7,0
524,0,0,1,57.9792,1,0
525,1,0,0,7.2292,7,0
526,1,0,0,7.75,7,1
527,0,0,0,10.5,7,2
528,1,0,0,221.7792,2,2
529,1,0,0,7.925,7,2
530,1,2,1,11.5,7,2
531,0,1,1,26.0,7,2
532,1,0,0,7.2292,7,0
533,1,1,1,7.2292,7,0
534,0,0,2,22.3583,7,0
535,0,0,0,8.6625,7,2
536,0,0,2,26.25,7,2
537,1,0,0,26.55,1,2
538,0,0,0,106.425,7,0
539,1,0,0,14.5,7,2
540,0,0,2,49.5,1,0
541,0,0,2,71.0,1,2
542,0,4,2,31.275,7,2
543,0,4,2,31.275,7,2
544,1,1,0,26.0,7,2
545,1,1,0,106.425,2,0
546,1,0,0,26.0,7,2
547,0,1,0,26.0,7,2
548,1,0,0,13.8625,7,0
549,1,1,1,20.525,7,2
550,1,1,1,36.75,7,2
551,1,0,2,110.8833,2,0
552,1,0,0,26.0,7,2
553,1,0,0,7.8292,7,1
554,1,0,0,7.225,7,0
555,0,0,0,7.775,7,2
556,1,0,0,26.55,7,2
557,0,1,0,39.6,0,0
558,1,0,0,227.525,7,0
559,0,1,1,79.65,4,2
560,0,1,0,17.4,7,2
561,1,0,0,7.75,7,1
562,1,0,0,7.8958,7,2
563,1,0,0,13.5,7,2
564,1,0,0,8.05,7,2
565,0,0,0,8.05,7,2
566,1,2,0,24.15,7,2
567,1,0,0,7.8958,7,2
568,0,0,4,21.075,7,2
569,1,0,0,7.2292,7,0
570,1,0,0,7.8542,7,2
571,1,0,0,10.5,7,2
572,0,2,0,51.4792,2,2
573,1,0,0,26.3875,4,2
574,0,0,0,7.75,7,1
575,1,0,0,8.05,7,2
576,1,0,0,14.5,7,2
577,0,0,0,13.0,7,2
578,0,1,0,55.9,4,2
579,0,1,0,14.4583,7,0
580,1,0,0,7.925,7,2
581,0,1,1,30.0,7,2
582,0,1,1,110.8833,2,0
583,1,0,0,26.0,7,2
584,1,0,0,40.125,0,0
585,1,0,0,8.7125,7,0
586,0,0,2,79.65,4,2
587,1,0,0,15.0,7,2
588,1,1,1,79.2,1,0
589,1,0,0,8.05,7,2
590,1,0,0,8.05,7,2
591,1,0,0,7.125,7,2
592,0,1,0,78.2667,3,0
593,1,0,0,7.25,7,2
594,0,0,2,7.75,7,1
595,1,1,0,26.0,7,2
596,1,1,1,24.15,7,2
597,0,0,0,33.0,7,2
598,1,0,0,0.0,7,2
599,1,0,0,7.225,7,0
600,1,1,0,56.9292,0,0
601,0,2,1,27.0,7,2
602,1,0,0,7.8958,7,2
603,1,0,0,42.4,7,2
604,1,0,0,8.05,7,2
605,1,0,0,26.55,7,0
606,1,1,0,15.55,7,2
607,1,0,0,7.8958,7,2
608,1,0,0,30.5,7,2
609,0,1,2,41.5792,7,0
610,0,0,0,153.4625,2,2
611,0,1,5,31.275,7,2
612,1,0,0,7.05,7,2
613,0,1,0,15.5,7,1
614,1,0,0,7.75,7,1
615,1,0,0,8.05,7,2
616,0,1,2,65.0,7,2
617,1,1,1,14.4,7,2
618,0,1,0,16.1,7,2
619,0,2,1,39.0,5,2
620,1,0,0,10.5,7,2
621,1,1,0,14.4542,7,0
622,1,1,0,52.5542,3,2
623,1,1,1,15.7417,7,0
624,1,0,0,7.8542,7,2
625,1,0,0,16.1,7,2
626,1,0,0,32.3208,3,2
627,1,0,0,12.35,7,1
628,0,0,0,77.9583,3,2
629,1,0,0,7.8958,7,2
630,1,0,0,7.7333,7,1
631,1,0,0,30.0,0,2
632,1,0,0,7.0542,7,2
633,1,0,0,30.5,1,0
634,1,0,0,0.0,7,2
635,0,3,2,27.9,7,2
636,0,0,0,13.0,7,2
637,1,0,0,7.925,7,2
638,1,1,1,26.25,7,2
639,0,0,5,39.6875,7,2
640,1,1,0,16.1,7,2
641,1,0,0,7.8542,7,2
642,0,0,0,69.3,1,0
643,0,3,2,27.9,7,2
644,1,0,0,56.4958,7,2
645,0,2,1,19.2583,7,0
646,1,1,0,76.7292,3,0
647,1,0,0,7.8958,7,2
648,1,0,0,35.5,0,0
649,1,0,0,7.55,7,2
650,0,0,0,7.55,7,2
651,1,0,0,7.8958,7,2
652,0,0,1,23.0,7,2
653,1,0,0,8.4333,7,2
654,0,0,0,7.8292,7,1
655,0,0,0,6.75,7,1
656,1,2,0,73.5,7,2
657,1,0,0,7.8958,7,2
658,0,1,1,15.5,7,1
659,1,0,0,13.0,7,2
660,1,0,2,113.275,3,0
661,1,2,0,133.65,7,2
662,1,0,0,7.225,7,0
663,1,0,0,25.5875,4,2
664,1,0,0,7.4958,7,2
665,1,1,0,7.925,7,2
666,1,2,0,73.5,7,2
667,1,0,0,13.0,7,2
668,1,0,0,7.775,7,2
669,1,0,0,8.05,7,2
670,0,1,0,52.0,2,2
671,0,1,1,39.0,7,2
672,1,1,0,52.0,1,2
673,1,0,0,10.5,7,2
674,1,0,0,13.0,7,2
675,1,0,0,0.0,7,2
676,1,0,0,7.775,7,2
677,1,0,0,8.05,7,2
678,0,0,0,9.8417,7,2
679,0,1,6,46.9,7,2
680,1,0,1,512.3292,1,0
681,0,0,0,8.1375,7,1
682,1,0,0,76.7292,3,0
683,1,0,0,9.225,7,2
684,1,5,2,46.9,7,2
685,1,1,1,39.0,7,2
686,1,1,2,41.5792,7,0
687,1,4,1,39.6875,7,2
688,1,0,0,10.1708,7,2
689,1,0,0,7.7958,7,2
690,0,0,1,211.3375,1,2
691,1,1,0,57.0,1,2
692,0,0,1,13.4167,7,0
693,1,0,0,56.4958,7,2
694,1,0,0,7.225,7,0
695,1,0,0,26.55,7,2
696,1,0,0,13.5,7,2
697,1,0,0,8.05,7,2
698,0,0,0,7.7333,7,1
699,1,1,1,110.8833,2,0
700,1,0,0,7.65,5,2
701,0,1,0,227.525,2,0
702,1,0,0,26.2875,4,2
703,0,0,1,14.4542,7,0
704,1,0,0,7.7417,7,1
705,1,1,0,7.8542,7,2
706,1,0,0,26.0,7,2
707,0,0,0,13.5,7,2
708,1,0,0,26.2875,4,2
709,0,0,0,151.55,7,2
710,1,1,1,15.2458,7,0
711,0,0,0,49.5042,2,0
712,1,0,0,26.55,2,2
713,1,1,0,52.0,2,2
714,1,0,0,9.4833,7,2
715,1,0,0,13.0,7,2
716,1,0,0,7.65,5,2
717,0,0,0,227.525,2,0
718,0,0,0,10.5,4,2
719,1,0,0,15.5,7,1
720,1,0,0,7.775,7,2
721,0,0,1,33.0,7,2
722,1,1,0,7.0542,7,2
723,1,0,0,13.0,7,2
724,1,0,0,13.0,7,2
725,1,1,0,53.1,4,2
726,1,0,0,8.6625,7,2
727,0,3,0,21.0,7,2
728,0,0,0,7.7375,7,1
729,1,1,0,26.0,7,2
730,0,1,0,7.925,7,2
731,0,0,0,211.3375,1,2
732,1,0,0,18.7875,7,0
733,1,0,0,0.0,7,2
734,1,0,0,13.0,7,2
735,1,0,0,13.0,7,2
736,1,0,0,16.1,7,2
737,0,1,3,34.375,7,2
738,1,0,0,512.3292,1,0
739,1,0,0,7.8958,7,2
740,1,0,0,7.8958,7,2
741,1,0,0,30.0,3,2
742,1,1,0,78.85,2,2
743,0,2,2,262.375,1,0
744,1,1,0,16.1,7,2
745,1,0,0,7.925,7,2
746,1,1,1,71.0,1,2
747,1,1,1,20.25,7,2
748,0,0,0,13.0,7,2
749,1,1,0,53.1,3,2
750,1,0,0,7.75,7,1
751,0,1,1,23.0,7,2
752,1,0,1,12.475,4,2
753,1,0,0,9.5,7,2
754,1,0,0,7.8958,7,2
755,0,1,2,65.0,7,2
756,1,1,1,14.5,7,2
757,1,0,0,7.7958,7,2
758,1,0,0,11.5,7,2
759,1,0,0,8.05,7,2
760,0,0,0,86.5,1,2
761,1,0,0,14.5,7,2
762,1,0,0,7.125,7,2
763,1,0,0,7.2292,7,0
764,0,1,2,120.0,1,2
765,1,0,0,7.775,7,2
766,0,1,0,77.9583,3,2
767,1,0,0,39.6,7,0
768,0,0,0,7.75,7,1
769,1,1,0,24.15,7,1
770,1,0,0,8.3625,7,2
771,1,0,0,9.5,7,2
772,1,0,0,7.8542,7,2
773,0,0,0,10.5,4,2
774,1,0,0,7.225,7,0
775,0,1,3,23.0,7,2
776,1,0,0,7.75,7,2
777,1,0,0,7.75,5,1
778,0,0,0,12.475,7,2
779,1,0,0,7.7375,7,1
780,0,0,1,211.3375,1,2
781,0,0,0,7.2292,7,0
782,0,1,0,57.0,1,2
783,1,0,0,30.0,3,2
784,1,1,2,23.45,7,2
785,1,0,0,7.05,7,2
786,1,0,0,7.25,7,2
787,0,0,0,7.4958,7,2
788,1,4,1,29.125,7,1
789,1,1,2,20.575,7,2
790,1,0,0,79.2,1,0
791,1,0,0,7.75,7,1
792,1,0,0,26.0,7,2
793,0,8,2,69.55,7,2
794,1,0,0,30.6958,7,0
795,1,0,0,7.8958,7,2
796,1,0,0,13.0,7,2
797,0,0,0,25.9292,3,2
798,0,0,0,8.6833,7,2
799,1,0,0,7.2292,7,0
800,0,1,1,24.15,7,2
801,1,0,0,13.0,7,2
802,0,1,1,26.25,7,2
803,1,1,2,120.0,1,2
804,1,0,1,8.5167,7,0
805,1,0,0,6.975,7,2
806,1,0,0,7.775,7,2
807,1,0,0,0.0,0,2
808,0,0,0,7.775,7,2
809,1,0,0,13.0,7,2
810,0,1,0,53.1,4,2
811,1,0,0,7.8875,7,2
812,1,0,0,24.15,7,2
813,1,0,0,10.5,7,2
814,0,4,2,31.275,7,2
815,1,0,0,8.05,7,2
816,1,0,0,0.0,1,2
817,0,0,0,7.925,7,2
818,1,1,1,37.0042,7,0
819,1,0,0,6.45,7,2
820,1,3,2,27.9,7,2
821,0,1,1,93.5,1,2
822,1,0,0,8.6625,7,2
823,1,0,0,0.0,7,2
824,0,0,1,12.475,4,2
825,1,4,1,39.6875,7,2
826,1,0,0,6.95,7,1
827,1,0,0,56.4958,7,2
828,1,0,2,37.0042,7,0
829,1,0,0,7.75,7,1
830,0,0,0,80.0,1,2
831,0,1,0,14.4542,7,0
832,1,1,1,18.75,7,2
833,1,0,0,7.2292,7,0
834,1,0,0,7.8542,7,2
835,1,0,0,8.3,7,2
836,0,1,1,83.1583,4,0
837,1,0,0,8.6625,7,2
838,1,0,0,8.05,7,2
839,1,0,0,56.4958,7,2
840,1,0,0,29.7,2,0
841,1,0,0,7.925,7,2
842,1,0,0,10.5,7,2
843,0,0,0,31.0,7,0
844,1,0,0,6.4375,7,0
845,1,0,0,8.6625,7,2
846,1,0,0,7.55,7,2
847,1,8,2,69.55,7,2
848,1,0,0,7.8958,7,0
849,1,0,1,33.0,7,2
850,0,1,0,89.1042,2,0
851,1,4,2,31.275,7,2
852,1,0,0,7.775,7,2
853,0,1,1,15.2458,7,0
854,0,0,1,39.4,3,2
855,0,1,0,26.0,7,2
856,0,0,1,9.35,7,2
857,0,1,1,164.8667,7,2
858,1,0,0,26.55,4,2
859,0,0,3,19.2583,7,0
860,1,0,0,7.2292,7,0
861,1,2,0,14.1083,7,2
862,1,1,0,11.5,7,2
863,0,0,0,25.9292,3,2
864,0,8,2,69.55,7,2
865,1,0,0,13.0,7,2
866,0,0,0,13.0,7,2
867,0,1,0,13.8583,7,0
868,1,0,0,50.4958,0,2
869,1,0,0,9.5,7,2
870,1,1,1,11.1333,7,2
871,1,0,0,7.8958,7,2
872,0,1,1,52.5542,3,2
873,1,0,0,5.0,1,2
874,1,0,0,9.0,7,2
875,0,1,0,24.0,7,0
876,0,0,0,7.225,7,0
877,1,0,0,9.8458,7,2
878,1,0,0,7.8958,7,2
879,1,0,0,7.8958,7,2
880,0,0,1,83.1583,2,0
881,0,0,1,26.0,7,2
882,1,0,0,7.8958,7,2
883,0,0,0,10.5167,7,2
884,1,0,0,10.5,7,2
885,1,0,0,7.05,7,2
886,0,0,5,29.125,7,1
887,1,0,0,13.0,7,2
888,0,0,0,30.0,1,2
889,0,1,2,23.45,7,2
890,1,0,0,30.0,2,0
891,1,0,0,7.75,7,1
